Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
 إدارة الهدايا (CRUD),SCRUM-45,10072,Story,Admin/Gifts Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 12:08 AM,18/Jan/26 11:46 AM,,18/Jan/26 12:08 AM,,0,انشاء قاعدة بيانات و اضافة ازرار التحكم حذف تعديل اضافة,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0009r:,,,,,,,,Done,18/Jan/26 12:08 AM
ختبار CRUD والتصنيفات (QA,SCRUM-44,10071,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 12:04 AM,18/Jan/26 12:04 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0009j:,,,,,10014,SCRUM-15,Rate Gift,To Do,18/Jan/26 12:04 AM
إضافة نظام تصنيف الهدايا حسب المناسبة,SCRUM-43,10069,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 12:04 AM,18/Jan/26 12:04 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0009b:,,,,,10014,SCRUM-15,Rate Gift,To Do,18/Jan/26 12:04 AM
إنشاء API CRUD للهدايا (Backend,SCRUM-42,10067,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 12:04 AM,18/Jan/26 12:04 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i00093:,,,,,10014,SCRUM-15,Rate Gift,To Do,18/Jan/26 12:04 AM
تنفيذ واجهة CRUD في Frontend,SCRUM-41,10065,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 12:03 AM,18/Jan/26 12:03 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0008v:,,,,,10014,SCRUM-15,Rate Gift,To Do,18/Jan/26 12:03 AM
صميم لوحة إدارة الهدايا,SCRUM-40,10063,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 12:03 AM,18/Jan/26 12:03 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0008n:,,,,,10014,SCRUM-15,Rate Gift,To Do,18/Jan/26 12:03 AM
اختبار مشاركة الهدايا (QA),SCRUM-39,10061,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 12:02 AM,18/Jan/26 12:02 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0008f:,,,,,10013,SCRUM-14, إدارة الهدايا (CRUD),To Do,18/Jan/26 12:02 AM
إنشاء API مشاركة الرابط أو الرسالة (Backend),SCRUM-38,10059,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 12:01 AM,18/Jan/26 12:01 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i00087:,,,,,10013,SCRUM-14, إدارة الهدايا (CRUD),To Do,18/Jan/26 12:01 AM
تنفيذ زر المشاركة في Frontend,SCRUM-37,10057,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 12:01 AM,18/Jan/26 12:01 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0007z:,,,,,10013,SCRUM-14, إدارة الهدايا (CRUD),To Do,18/Jan/26 12:01 AM
تصميم واجهة مشاركة الهدايا,SCRUM-36,10055,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 12:01 AM,18/Jan/26 12:01 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0007r:,,,,,10013,SCRUM-14, إدارة الهدايا (CRUD),To Do,18/Jan/26 12:01 AM
اختبار حفظ وعرض المفضلات (QA),SCRUM-35,10053,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 12:00 AM,18/Jan/26 12:00 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0007j:,,,,,10012,SCRUM-13,Save Gift to Wishlist,To Do,18/Jan/26 12:00 AM
حفظ الهدية في قاعدة البيانات (Backend),SCRUM-34,10051,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 11:59 PM,17/Jan/26 11:59 PM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0007b:,,,,,10012,SCRUM-13,Save Gift to Wishlist,To Do,17/Jan/26 11:59 PM
تنفيذ حفظ الهدية في Frontend,SCRUM-33,10049,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 11:59 PM,17/Jan/26 11:59 PM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i00073:,,,,,10012,SCRUM-13,Save Gift to Wishlist,To Do,17/Jan/26 11:59 PM
تصميم زر/واجهة حفظ الهدية,SCRUM-32,10047,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 11:59 PM,17/Jan/26 11:59 PM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0006v:,,,,,10012,SCRUM-13,Save Gift to Wishlist,To Do,17/Jan/26 11:59 PM
اختبار عرض الاقتراحات (QA),SCRUM-31,10045,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 11:58 PM,17/Jan/26 11:58 PM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0006n:,,,,,10011,SCRUM-12,View Gift Suggestions,To Do,17/Jan/26 11:58 PM
ربط الاقتراحات ببيانات المناسبة والمستلم,SCRUM-30,10043,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 11:57 PM,17/Jan/26 11:57 PM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0006f:,,,,,10011,SCRUM-12,View Gift Suggestions,To Do,17/Jan/26 11:57 PM
إنشاء API لاقتراح الهدايا (Backend),SCRUM-29,10041,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 11:57 PM,17/Jan/26 11:57 PM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i00067:,,,,,10011,SCRUM-12,View Gift Suggestions,To Do,17/Jan/26 11:57 PM
تنفيذ عرض الاقتراحات في Frontend,SCRUM-28,10039,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 11:57 PM,17/Jan/26 11:57 PM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0005z:,,,,,10011,SCRUM-12,View Gift Suggestions,To Do,17/Jan/26 11:57 PM
تصميم واجهة عرض الاقتراحات,SCRUM-27,10037,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 11:57 PM,17/Jan/26 11:57 PM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0005r:,,,,,10011,SCRUM-12,View Gift Suggestions,To Do,17/Jan/26 11:57 PM
اختبار النموذج (QA,SCRUM-26,10035,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 11:49 PM,17/Jan/26 11:49 PM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0005j:,,,,,10010,SCRUM-11,Enter Recipient Details,To Do,17/Jan/26 11:49 PM
